,UMAP_1,UMAP_2
0,-4.4980173,14.339602
1,5.6923513,-4.9870076
2,2.9607701,-2.371288
3,0.61163044,0.0358861
4,11.975499,2.4580712
5,10.949151,18.287884
6,10.105221,-2.2797537
7,12.75307,4.0404353
8,0.3124684,2.4593432
9,-2.8526554,7.576393
10,10.118683,18.854544
11,-4.825148,12.7894
12,11.836159,8.0255575
13,-0.98981625,8.713986
14,6.2963676,-4.694194
15,12.794547,13.176076
16,-2.8045151,-0.88922566
17,-1.244239,8.60382
18,10.726956,11.169978
19,-0.4535804,13.499632
20,-1.962269,4.6834083
21,11.44567,6.804635
22,-1.3504318,7.8945904
23,-1.7625488,-3.0864818
24,8.528763,-4.6032667
25,-0.49045774,8.092816
26,-1.6536801,-4.946338
27,10.714353,13.402257
28,-1.6653494,4.2184668
29,12.84704,4.446364
30,-3.681073,12.597488
31,2.0309637,-3.0384152
32,12.293581,2.64917
33,-2.7329855,8.393743
34,4.7770867,-5.6327934
35,10.96261,18.286406
36,12.237701,7.7383647
37,-3.9026778,14.438323
38,11.646701,2.7224858
39,12.912557,4.175344
40,-4.367808,14.4317
41,12.7050705,3.5229669
42,9.715567,-5.9280844
43,12.083047,1.413047
44,11.387146,3.0969305
45,1.5280827,-2.959577
46,-0.66303414,5.8803973
47,11.62011,8.139616
48,-1.1340129,3.2337668
49,11.935901,3.53658
50,1.568337,-2.9466512
51,12.855313,4.0438924
52,10.939877,4.0238256
53,0.35167423,-5.591833
54,9.164122,1.7284534
55,12.689164,3.209033
56,1.03771,-6.120706
57,12.58602,4.518677
58,0.3731911,-5.019989
59,11.525708,1.2171242
60,0.44658422,6.7717433
61,8.448623,0.40824053
62,0.991467,-2.9333932
63,-2.7665591,13.994295
64,-1.625771,-4.935876
65,11.789218,-0.252997
66,-3.0260851,14.09372
67,-1.8637123,13.921498
68,10.830092,10.989171
69,0.89273065,-5.794637
70,12.689587,7.9204893
71,9.604863,0.7732681
72,8.429527,-6.7565074
73,12.498768,0.33974767
74,10.312769,12.41768
75,10.631551,-6.100581
76,8.929464,1.244693
77,1.3810863,-2.8768902
78,11.36757,1.2286929
79,1.9743149,-3.0014591
80,-3.377529,11.746
81,-3.9688303,3.8381746
82,3.8745937,-5.648309
83,-1.5218616,5.5918536
84,7.90827,-5.922558
85,13.078652,7.4963603
86,-4.9153247,12.955227
87,-0.14621927,5.0993342
88,-2.5124817,-2.2973619
89,8.464461,0.1132968
90,7.7723565,-4.1949368
91,12.84578,7.417403
92,-3.465909,12.168322
93,4.9587626,-5.4144335
94,10.784258,3.9566686
95,11.254195,6.0551944
96,0.48894754,2.292785
97,12.589468,4.52725
98,6.371554,-4.247093
99,12.351817,5.9285192
100,12.653299,3.1182628
101,-0.7846961,6.814274
102,12.800167,3.9104912
103,11.536616,13.607694
104,11.791651,-0.38070905
105,-2.2983482,15.491239
106,-2.7838686,13.942655
107,-4.15531,4.0541525
108,11.918548,3.4721277
109,-2.7149122,14.967804
110,6.778549,-1.812995
111,-2.3267846,15.059839
112,-3.9007225,3.8041592
113,7.480811,-2.1270683
114,-1.9401056,14.923866
115,-0.362088,13.220376
116,7.021443,-2.8563101
117,11.462042,13.600683
118,-1.0860809,-4.785577
119,11.66819,4.958097
120,-0.87729937,8.848251
121,11.631419,-0.38192752
122,-0.71961844,-5.4048634
123,-2.2773135,-2.753469
124,10.244916,1.436624
125,-0.62237495,4.3691688
126,9.584832,-4.2050176
127,10.371637,-4.74047
128,11.873915,12.479085
129,-3.3702834,11.533665
